timestamp,timestamp_sec,lip_movement,audio_energy,sync_score,is_suspicious
00:00.00,0.0,0.0197,0.379,0.6231,True
00:00.20,0.2,0.0212,0.3007,0.4987,True
00:00.40,0.4,0.022,0.3697,0.4508,True
00:00.60,0.6,0.0242,0.3379,0.6352,True
00:00.80,0.8,0.0198,0.3204,0.6853,True
00:01.00,1.0,0.0144,0.3805,0.7066,True
00:01.20,1.2,0.0095,0.3007,0.7876,False
00:01.40,1.4,0.001,0.3698,0.6563,True
00:01.60,1.6,0.0,0.3379,0.6608,True
00:01.80,1.8,0.0,0.3204,0.6607,True
