timestamp,timestamp_sec,lip_movement,audio_energy,sync_score,is_suspicious
00:00.00,0.0,0.018,0.4968,0.6166,True
00:00.20,0.2,0.0195,0.3774,0.7126,True
00:00.40,0.4,0.0215,0.2337,0.7064,True
00:00.60,0.6,0.0214,0.2013,0.7321,True
00:00.80,0.8,0.0209,0.3102,0.7215,True
00:01.00,1.0,0.0217,0.4594,0.7151,True
00:01.20,1.2,0.02,0.5103,0.6511,True
00:01.40,1.4,0.0204,0.4158,0.6631,True
